Timestamp,Lane ID,Time of Day,Day of Week,Weather Condition,Lane Width (m),Road Type,Season/Month,Occasion/Event,Location,Traffic Density (Vehicles)
2023-06-22 09:57:58,3,3,5,1,20,1,2,2,2,1256
2022-09-26 21:20:22,2,3,1,5,10,3,4,3,1,1192
2021-06-22 06:33:47,3,2,3,3,20,2,1,1,5,1868
2021-09-06 16:05:04,1,2,2,5,25,1,3,0,6,1434
2022-12-11 10:11:22,1,1,1,2,30,2,3,1,0,1161
2024-04-19 14:42:52,2,4,5,2,25,1,2,3,2,1829
2023-07-04 20:34:54,1,3,4,4,10,3,3,1,1,1818
2021-04-07 01:05:21,1,4,4,2,10,3,3,0,1,1579
2021-09-14 23:50:18,2,1,5,4,25,3,3,2,0,1201
2021-05-04 14:41:09,2,5,7,3,10,2,2,1,0,1507
2021-03-18 19:40:50,1,5,3,3,30,3,1,2,4,1459
2023-10-30 04:27:34,1,1,6,1,15,1,1,0,4,1110
2021-07-10 11:58:11,4,4,2,2,10,2,2,3,1,1725
2020-02-25 18:39:44,4,2,4,3,30,3,4,3,3,1563
2023-09-21 11:59:12,1,5,7,5,25,3,3,0,6,1416
2021-03-18 20:19:37,1,3,4,5,15,1,2,2,4,1301
2022-05-09 16:42:19,3,1,1,5,10,2,1,0,2,1256
2023-04-10 00:25:24,2,1,3,4,25,2,2,1,1,1387
2022-05-24 20:11:22,1,2,6,3,10,2,3,2,2,1302
2022-10-24 12:34:48,4,5,4,2,10,1,4,1,2,1355
2021-07-03 05:08:06,3,5,3,2,30,1,2,3,4,1222
2020-04-28 07:09:12,3,2,6,5,25,1,1,1,5,1688
2020-11-25 14:56:23,4,5,1,5,20,2,4,2,4,1338
2021-08-22 08:49:36,2,4,7,2,10,1,1,1,5,1796
2021-06-17 23:49:08,2,5,5,1,25,1,2,0,0,1169
2022-09-22 06:35:34,1,2,3,4,10,1,1,3,4,1841
2024-04-19 15:24:27,4,1,3,5,30,3,2,3,2,1180
2020-04-16 11:42:11,1,2,3,1,10,1,1,3,0,1675
2021-04-22 09:45:15,4,2,6,5,15,1,4,0,4,1573
2021-06-06 15:22:49,3,1,4,5,25,1,2,0,2,1193
2024-07-02 17:43:35,4,2,4,2,25,3,3,2,1,1234
2020-07-17 00:36:30,2,5,6,4,25,2,4,3,1,1486
2020-08-25 17:20:09,2,1,6,1,10,2,1,1,1,1273
2023-03-22 13:35:26,2,3,5,4,25,1,3,3,6,1520
2020-04-06 07:08:41,2,5,5,4,20,3,1,3,6,1398
2020-10-04 14:36:03,1,3,5,3,15,2,3,1,4,1522
2022-06-05 11:27:17,3,1,2,5,30,1,4,3,5,1156
2020-10-08 23:57:14,3,1,6,4,20,2,3,2,6,1420
2024-07-20 09:26:50,1,3,7,4,20,2,1,2,0,1266
2024-08-25 09:48:12,3,3,6,5,25,3,1,2,4,1324
2022-07-19 02:07:07,4,4,5,5,15,1,4,2,1,1698
2023-09-15 03:17:45,3,5,3,3,15,3,1,3,5,1517
2022-09-19 08:11:05,1,5,7,3,20,2,2,1,4,1650
2021-04-26 09:47:17,1,3,3,5,10,1,2,3,5,1216
2020-07-28 05:33:05,3,2,6,2,10,1,3,3,5,1503
2024-07-20 08:58:10,1,3,3,5,15,3,4,2,6,1292
2021-08-31 08:10:50,3,1,6,4,30,2,2,2,4,1147
2021-02-12 05:16:43,3,5,6,2,15,3,4,1,2,1411
2020-12-16 04:40:42,3,2,2,1,10,3,4,3,3,1341
2021-05-02 17:31:38,1,5,6,4,30,2,1,2,5,1667
2021-11-02 10:59:22,3,2,2,4,10,1,3,0,1,1386
2020-11-16 17:15:50,3,5,2,2,30,3,3,1,3,1420
2023-05-04 04:33:56,3,1,7,5,20,1,3,1,2,1210
2021-01-11 02:26:21,1,4,2,3,10,1,2,3,6,1914
2021-12-25 11:07:01,3,5,1,2,25,2,3,2,2,1347
2024-05-21 15:00:32,2,5,6,2,15,2,2,1,2,1565
2023-01-24 02:12:29,4,4,2,2,25,2,2,0,3,1409
2023-08-12 05:24:08,3,1,1,2,10,2,3,1,6,1325
2021-08-18 18:37:27,2,1,1,2,10,3,1,0,4,1036
2024-06-15 20:39:33,2,2,4,5,15,3,2,1,3,1526
2024-01-03 01:28:29,3,2,1,3,20,3,4,3,4,1581
2023-09-03 03:12:31,4,2,6,2,25,1,3,2,2,1412
2024-02-12 06:27:54,4,4,1,3,10,1,4,2,0,1783
2022-12-16 12:22:50,2,2,6,4,10,2,1,2,3,1599
2024-03-29 12:33:31,4,5,6,2,20,2,2,1,5,1282
2020-05-07 21:40:26,1,5,3,1,25,2,2,3,6,1222
2024-09-04 01:51:42,4,2,5,5,10,3,1,1,6,1805
2021-04-17 08:20:20,3,5,5,5,15,1,2,2,1,1473
2022-02-11 04:42:57,4,2,3,3,15,2,3,0,1,1404
2021-04-17 04:31:21,2,2,2,1,30,1,3,3,0,1453
2022-06-10 16:26:42,4,3,3,5,25,2,2,3,4,1207
2024-02-01 18:57:03,2,1,7,5,15,2,3,2,3,1259
2020-11-29 13:16:03,4,1,7,3,15,3,2,0,0,1302
2021-08-06 14:10:29,4,4,5,1,20,2,4,3,4,1848
2020-11-18 22:29:04,2,2,1,3,15,3,3,0,6,1455
2021-05-07 13:26:41,3,4,1,1,20,2,2,3,2,2045
2023-08-07 15:56:50,1,5,1,5,25,2,1,0,2,1221
2022-11-19 08:44:35,4,2,5,5,30,3,3,1,4,1363
2020-02-08 23:35:14,4,5,3,1,20,3,3,3,5,1440
2023-03-28 10:41:55,4,2,3,3,15,2,4,3,5,1540
2022-08-16 07:06:27,4,2,2,1,25,2,2,3,6,1677
2022-07-24 04:37:17,2,4,1,4,15,2,2,1,0,2125
2021-05-06 00:18:14,2,5,4,3,20,2,2,3,0,1558
2020-05-28 04:35:58,3,1,2,1,15,1,1,3,1,1211
2021-10-28 03:04:29,1,2,3,1,20,1,3,1,4,1264
2020-03-02 06:11:36,2,1,5,3,20,1,2,3,6,1315
2023-01-13 06:28:45,3,5,5,3,25,2,3,1,5,1322
2020-05-26 09:20:37,3,3,5,3,25,3,3,2,2,1594
2020-02-23 19:26:09,2,1,6,4,25,2,4,1,2,1353
2022-09-12 23:17:54,3,3,7,2,15,1,4,3,6,1254
2023-07-08 15:07:13,3,4,5,2,30,2,3,1,2,1964
2021-07-02 21:42:18,3,2,2,2,10,2,1,2,5,1742
2020-12-26 18:38:05,3,5,1,1,25,2,4,2,3,1319
2020-05-20 18:26:56,3,5,4,3,30,1,2,0,6,1283
2023-04-10 11:16:15,2,1,6,2,30,3,4,3,3,1136
2022-09-19 09:59:36,4,3,6,3,20,1,1,0,6,1200
2024-04-10 06:46:16,2,1,4,1,25,2,2,2,4,1172
2020-09-27 02:07:30,3,1,5,5,20,3,1,3,0,1163
2021-12-09 10:27:26,4,1,5,1,30,1,2,3,1,1235
2023-10-02 21:24:09,1,5,6,3,10,1,3,3,3,1700
2023-06-08 11:21:41,1,5,2,5,20,3,2,0,0,1201
2023-06-06 01:59:00,3,4,6,3,30,2,4,1,4,2087
2021-12-24 17:13:57,4,4,4,3,30,3,1,3,6,1728
2024-09-04 08:20:32,4,5,6,1,15,3,1,1,0,1527
2021-01-11 23:50:54,1,1,1,2,10,2,3,1,4,1439
2020-02-04 07:53:58,3,2,2,1,30,1,2,3,1,1546
2023-05-19 05:06:42,1,5,1,1,15,3,4,0,3,1241
2020-12-28 03:49:10,1,2,1,2,15,2,4,3,3,1642
2020-04-18 02:52:25,1,3,2,4,30,3,1,1,3,1293
2022-10-17 23:51:00,1,5,2,3,10,2,2,3,3,1466
2023-09-03 17:17:15,4,4,3,3,10,1,3,3,4,1826
2020-07-11 12:00:44,2,1,4,4,15,2,3,1,4,1303
2024-04-03 05:33:40,2,3,7,3,20,2,1,1,6,1275
2021-02-03 19:57:19,1,3,1,3,25,3,4,2,2,1378
2023-11-16 16:54:30,3,3,2,5,30,3,4,2,1,1273
2022-04-13 18:29:22,3,5,2,4,15,3,4,2,1,1539
2024-05-29 23:41:55,1,4,6,3,10,2,2,0,6,1830
2023-06-18 11:30:48,2,5,2,1,10,1,3,3,1,1455
2023-11-21 16:41:27,4,5,7,4,10,1,3,0,3,1351
2022-06-17 18:43:38,1,4,1,1,25,3,4,3,2,1601
2023-01-05 20:30:58,2,1,3,5,20,1,1,1,0,1411
2020-04-02 12:05:41,2,1,1,1,25,2,3,3,5,1160
2021-05-03 08:34:41,1,5,7,5,10,3,4,3,5,1582
2023-05-26 00:05:22,2,3,7,1,20,1,3,2,0,1532
2023-01-10 10:25:26,4,1,2,3,25,3,4,1,5,1315
2021-08-25 20:35:09,4,3,7,4,20,1,2,1,2,1061
2022-02-27 14:21:51,3,1,7,3,20,1,2,1,4,1357
2024-04-19 03:42:00,1,3,6,1,20,2,4,3,0,1176
2020-09-18 15:52:49,4,5,3,1,20,2,3,1,5,1454
2021-06-09 19:28:02,1,4,7,1,20,3,1,3,2,2028
2020-04-30 00:33:37,3,1,2,5,30,2,2,0,1,1141
2021-12-26 20:45:45,3,1,1,3,15,3,1,2,3,1378
2020-03-16 20:36:04,2,1,6,3,25,1,1,2,5,1358
2023-03-05 05:29:01,1,1,4,4,20,3,2,3,5,1243
2021-12-14 12:11:46,3,1,4,5,30,1,2,2,4,1216
2023-12-03 09:03:42,2,3,4,5,30,1,3,0,6,1556
2020-07-27 03:39:03,4,2,1,5,30,2,2,3,3,1671
2021-12-20 00:32:31,4,3,7,1,10,2,4,1,1,1250
2021-08-06 07:20:45,3,1,7,4,20,1,2,0,2,1191
2022-05-16 06:37:42,1,2,6,3,30,3,1,3,1,1597
2023-10-31 08:40:43,1,5,2,4,30,1,3,2,4,1354
2021-12-27 21:07:41,1,3,3,1,25,3,1,1,2,1355
2024-02-06 22:14:25,4,1,4,1,15,2,2,3,2,1422
2023-05-22 05:02:52,3,4,4,1,10,2,4,1,0,1907
2022-07-01 03:23:13,3,1,2,1,15,3,2,3,1,1237
2024-06-09 16:49:59,2,1,7,1,10,3,3,2,3,1302
2021-08-12 20:16:27,4,1,1,5,30,3,4,0,3,1421
2024-06-21 06:26:56,3,1,3,4,25,2,2,1,1,1305
2021-01-19 07:49:26,4,1,2,1,30,1,2,0,5,1165
2022-04-27 23:25:28,3,5,7,1,20,3,3,0,2,1298
2020-10-05 21:03:15,3,4,6,3,15,2,4,0,2,1845
2022-07-04 02:38:10,3,2,3,4,25,2,3,0,4,1265
2020-07-18 23:54:52,4,3,4,3,25,1,2,2,6,1507
2024-05-25 12:07:50,3,5,2,3,15,2,4,1,1,1632
2023-04-14 11:47:53,4,4,4,1,25,2,4,3,2,1894
2020-02-09 09:35:36,3,1,1,5,15,2,3,1,6,1379
2023-12-13 01:52:31,4,5,5,4,20,1,2,3,4,1437
2022-04-10 04:25:27,4,2,5,1,15,2,1,3,3,1747
2023-07-03 09:06:10,1,5,1,4,30,1,2,0,4,1353
2021-06-11 05:06:02,1,5,4,2,25,2,2,3,0,1352
2022-04-17 10:16:39,3,3,5,1,15,2,1,0,1,1119
2024-05-31 16:29:54,4,4,5,5,10,3,4,1,4,1999
2020-08-09 20:32:48,4,1,5,3,30,1,3,2,2,1325
2023-08-29 04:32:11,1,5,4,2,20,3,3,3,2,1398
2022-05-08 10:46:49,2,3,5,3,15,2,4,1,2,1354
2022-09-12 22:35:06,4,4,6,3,30,1,1,0,0,1550
2020-04-12 08:55:32,2,4,5,1,10,1,4,3,4,1777
2023-10-22 11:24:20,3,5,3,5,25,3,3,1,5,1457
2020-12-12 12:39:41,4,5,2,4,10,3,2,2,0,1588
2021-01-10 18:16:03,3,5,1,1,10,1,3,1,4,1379
2022-07-12 12:07:17,1,1,1,2,20,3,3,2,2,1276
2023-12-29 05:09:37,4,1,2,2,10,3,3,0,6,1143
2021-01-17 22:48:53,4,3,5,4,30,3,2,0,0,1211
2023-03-27 01:29:51,2,2,1,3,10,2,1,3,6,1762
2024-01-31 23:41:23,4,2,3,3,10,2,2,1,0,1842
2022-02-22 04:42:54,4,5,7,1,10,3,3,0,3,1390
2022-01-30 07:23:14,4,1,5,4,25,3,3,2,1,1195
2022-10-29 03:53:18,2,4,7,5,10,3,1,1,3,2092
2022-07-11 13:35:03,3,1,5,4,20,2,3,3,4,1186
2022-10-04 18:58:55,3,2,3,1,15,1,1,2,1,1764
2021-03-16 07:15:31,3,4,6,5,10,3,1,1,1,2177
2020-10-02 07:24:47,4,4,4,5,10,1,1,0,2,1572
2020-08-31 17:22:57,3,2,2,1,25,3,3,1,5,1364
2021-05-27 09:34:21,3,1,2,4,25,3,2,2,4,1144
2020-05-06 01:22:36,2,5,7,2,30,3,1,3,3,1569
2022-05-19 11:49:59,2,2,1,1,20,3,2,2,3,1530
2023-12-18 23:18:57,4,1,1,1,20,2,1,0,4,1130
2023-07-31 03:58:37,2,2,5,2,20,2,3,2,5,1698
2022-04-20 11:56:46,1,5,6,2,25,2,3,2,5,1621
2023-03-26 19:24:42,3,3,4,4,20,3,1,0,6,1037
2023-01-08 18:01:09,2,1,3,2,15,1,4,1,4,1181
2022-06-08 06:50:35,1,5,2,1,20,2,2,1,4,1196
2020-01-03 08:31:43,1,1,6,5,15,1,3,0,5,1219
2023-12-12 12:48:39,1,5,4,1,15,2,1,0,2,1232
2023-06-10 09:00:41,1,5,3,3,10,2,4,3,0,1386
2021-10-14 16:08:52,3,1,1,5,20,2,1,1,2,1426
2024-04-23 21:06:25,2,2,1,4,25,1,3,2,4,1472
2023-09-09 02:02:56,1,4,7,1,20,3,3,2,3,1952
2023-03-08 12:55:25,1,2,2,4,15,3,1,0,1,1766
2020-06-21 07:04:28,2,1,5,2,25,2,4,0,4,1044
2020-04-30 09:03:55,4,5,4,2,10,2,3,3,5,1445
2022-04-10 18:37:41,4,5,4,1,15,3,3,2,5,1361
2022-08-01 17:18:46,2,2,3,4,15,2,2,2,0,1824
2021-04-07 05:44:41,3,4,2,1,20,1,3,2,2,1965
2021-01-21 22:55:55,2,2,2,2,15,3,2,2,0,1885
2021-03-29 11:58:48,1,1,4,3,15,1,3,0,2,1227
2024-07-16 05:44:04,3,3,6,2,25,3,2,2,3,1109
2021-09-14 00:28:18,1,2,3,1,30,1,1,1,5,1525
2021-05-27 18:04:22,2,4,6,3,10,1,2,2,4,1966
2023-06-23 13:34:34,1,2,6,3,10,1,2,2,4,1690
2020-04-21 16:53:53,4,3,2,5,15,2,4,1,2,1147
2021-01-04 16:33:54,3,1,2,1,15,2,2,1,6,1117
2024-05-28 16:02:33,4,3,7,5,25,2,3,0,1,1291
2023-08-06 13:26:19,4,2,2,2,25,1,1,2,1,1640
2024-05-16 18:53:12,1,5,3,5,10,3,4,0,0,1022
2021-01-26 05:10:11,2,3,6,4,30,3,2,2,4,1306
2022-04-30 07:44:08,3,4,5,3,15,3,1,0,0,1667
2022-02-25 17:01:53,3,1,6,5,30,1,1,1,6,1254
2023-09-16 04:27:16,2,5,2,2,30,3,3,0,1,1196
2021-04-06 08:16:36,1,2,3,2,10,3,3,0,3,1344
2020-11-11 20:55:38,4,2,4,2,15,2,4,3,3,1798
2022-02-06 05:41:33,3,4,7,5,30,2,1,0,5,1669
2022-08-17 10:57:40,4,2,6,1,30,2,3,2,1,1464
2020-11-04 12:51:39,1,3,5,1,10,1,3,3,2,1723
2021-07-13 01:55:13,2,4,2,4,20,1,3,1,2,2005
2024-04-20 12:06:53,3,5,7,2,15,1,1,0,0,1336
2020-05-25 08:56:01,2,4,1,2,20,1,1,0,6,1563
2020-01-07 04:11:48,1,1,6,1,25,2,4,0,5,1168
2021-07-18 21:29:10,2,1,4,2,10,3,2,0,0,1216
2024-03-12 05:57:44,3,4,3,1,15,2,1,0,2,1979
2020-03-20 21:24:17,1,2,6,1,15,1,2,1,6,1477
2023-08-01 23:47:49,4,4,6,1,30,3,1,1,1,1652
2020-10-08 02:27:03,4,2,4,2,30,2,3,1,2,1530
2023-03-29 23:04:11,3,3,2,2,25,1,3,1,1,1560
2022-09-06 00:32:47,4,4,5,4,10,1,4,3,2,2122
2020-10-21 16:18:48,2,4,4,2,30,1,1,0,2,1715
2021-04-15 05:51:04,4,4,4,2,30,2,2,3,5,1791
2023-10-31 13:25:14,4,3,5,2,10,3,3,1,0,1645
2020-02-24 08:34:20,4,4,5,3,30,1,2,1,1,2007
2021-11-06 16:49:50,3,3,3,5,20,2,1,1,1,1285
2023-05-22 12:14:32,4,2,7,5,30,3,1,0,4,1481
2022-04-23 17:56:41,4,1,5,2,10,3,4,2,3,1259
2020-03-15 13:38:35,4,2,6,5,10,3,4,0,2,1515
2020-06-17 19:50:50,4,5,3,5,10,2,2,0,0,1058
2021-07-01 22:03:06,4,3,4,2,20,1,4,2,5,1228
2021-07-03 19:44:09,1,2,2,3,20,2,2,0,6,1684
2024-04-27 17:56:14,3,2,5,1,15,3,1,1,4,1678
2021-03-02 15:15:42,4,1,3,2,20,1,4,2,3,1204
2023-12-03 01:05:42,2,3,3,2,15,3,3,1,1,1542
2023-10-09 12:21:08,1,5,5,4,20,1,1,2,1,1406
2024-05-13 14:14:50,4,4,7,4,15,2,3,2,5,2137
2020-09-01 14:45:58,4,2,6,5,25,1,2,0,4,1565
2024-08-06 02:37:13,4,1,1,4,15,2,2,0,5,1070
2022-07-21 15:00:04,2,2,5,3,15,3,2,1,0,1595
2022-05-06 06:28:07,3,3,3,1,30,2,3,0,5,1453
2024-01-04 16:56:21,4,4,7,1,30,2,1,0,0,1566
2020-02-12 04:16:16,2,4,3,1,15,1,2,0,2,1656
2023-08-12 06:56:02,1,2,4,5,25,1,1,0,5,1591
2020-09-21 22:01:45,2,5,3,2,15,1,4,1,6,1273
2021-10-13 03:45:09,2,4,1,4,10,2,1,3,5,2052
2020-10-21 12:28:35,2,3,7,1,15,3,2,1,4,1165
2021-06-17 08:28:31,4,5,2,5,15,1,2,0,1,1006
2023-09-16 17:49:27,1,5,2,1,20,2,2,1,4,1500
2023-01-25 22:45:12,4,4,2,2,20,1,2,3,5,1809
2020-08-14 17:55:16,4,2,7,4,20,1,4,0,5,1664
2021-08-19 22:09:42,3,3,7,1,15,2,3,1,0,1408
2024-02-28 11:07:40,1,4,7,4,20,2,2,3,1,2151
2023-03-28 23:03:27,3,1,6,3,20,2,3,0,1,1272
2021-03-31 15:14:53,4,4,2,4,10,2,1,3,3,1879
2022-10-30 16:04:29,1,1,7,1,15,1,2,0,1,1087
2024-07-20 20:49:17,4,2,4,5,15,1,4,3,3,1811
2022-02-24 19:40:27,4,2,3,5,25,3,2,0,3,1370
2023-12-21 06:50:14,2,3,3,2,20,1,3,1,4,1700
2023-05-08 00:50:50,1,3,2,1,20,2,3,2,4,1335
2020-11-03 09:08:18,4,2,7,4,20,2,2,1,3,1684
2020-10-20 09:00:42,4,3,5,5,25,3,1,0,0,1084
2023-05-17 13:06:08,2,5,7,2,30,2,3,2,2,1440
2023-01-04 21:40:06,3,1,7,4,10,3,1,1,1,1379
2024-05-22 05:45:47,4,1,6,2,20,3,1,3,6,1466
2024-07-13 13:24:47,3,3,7,2,15,1,3,1,1,1650
2021-08-01 19:42:29,3,5,5,4,20,3,1,2,6,1280
2022-04-29 20:20:10,2,2,6,4,15,3,3,0,1,1298
2020-10-30 12:04:51,4,1,1,4,25,3,4,1,1,1417
2022-11-23 07:19:42,1,5,6,1,15,2,2,3,2,1786
2020-12-12 16:22:56,2,3,1,3,30,3,4,3,6,1217
2023-04-06 03:11:14,4,1,3,1,30,3,3,3,5,1364
2021-04-19 07:04:44,3,3,5,5,15,1,1,0,6,1218
2023-08-02 22:37:06,3,1,7,3,10,3,4,1,1,1294
2021-05-25 05:37:01,4,4,4,3,25,1,3,0,4,1896
2023-10-01 23:39:10,3,4,2,3,25,1,1,1,5,1714
2020-05-04 12:12:40,3,4,3,5,25,1,2,3,4,1758
2021-10-19 15:35:39,4,1,7,4,25,3,4,0,0,1062
2024-06-30 10:34:46,4,4,1,2,25,2,1,0,1,1786
2022-11-05 18:28:17,3,3,2,1,15,2,2,1,6,1222
2023-11-18 12:57:35,4,3,5,4,25,1,2,0,6,1163
2024-09-05 04:25:55,1,1,6,2,15,1,4,2,1,1326
2020-08-04 11:37:10,3,3,6,2,25,3,4,1,5,1214
2024-03-12 15:49:32,4,5,5,5,20,2,4,3,0,1462
2021-10-30 08:13:55,1,2,6,1,20,3,3,0,6,1258
2023-05-31 09:34:58,1,1,2,5,30,3,1,2,6,1358
2023-05-11 12:08:59,2,2,2,1,15,2,2,1,0,1720
2022-05-08 00:29:49,1,5,7,4,15,1,2,1,1,1486
2022-10-29 19:31:38,2,1,2,4,25,1,2,3,0,1140
2021-06-14 04:29:42,4,4,7,1,25,2,4,0,2,1505
2024-05-29 04:36:22,4,5,4,1,20,3,1,0,6,1183
2021-10-27 17:41:02,1,1,7,4,25,1,4,0,3,1007
2023-10-30 15:58:32,1,3,3,5,30,1,1,3,5,1274
2021-05-03 13:34:00,3,5,3,2,20,1,4,0,5,1289
2023-02-12 07:44:39,3,1,5,3,20,2,1,0,5,1263
2024-07-18 16:33:12,2,5,1,2,30,1,3,0,5,1124
2022-12-25 08:22:29,1,3,1,1,30,1,4,0,4,1010
2024-05-17 06:40:33,4,3,3,3,10,2,2,3,2,1140
2023-02-03 06:12:34,1,5,7,2,10,2,4,0,4,1453
2022-07-30 18:21:37,4,4,5,5,20,1,2,0,1,1667
2024-06-01 01:44:04,3,3,1,5,10,1,3,2,4,1572
2022-09-05 06:00:15,2,3,4,1,25,1,3,3,3,1288
2023-04-22 08:41:54,1,3,4,5,10,3,2,3,6,1349
2022-03-18 17:27:24,1,3,3,3,30,3,4,1,5,1292
2020-03-16 01:07:23,1,4,3,5,20,1,3,3,6,1950
2022-08-17 09:34:46,3,4,6,3,10,2,4,1,3,2073
2024-05-10 13:21:19,2,2,4,3,20,1,1,0,3,1597
2020-12-23 22:54:23,4,4,5,5,30,2,1,1,4,1906
2022-03-15 04:28:42,1,5,6,3,25,1,1,3,6,1557
2021-03-27 14:49:38,3,3,7,3,10,3,4,1,3,1180
2022-10-19 02:06:45,1,5,5,3,25,3,2,0,4,1228
2021-04-18 14:57:31,2,1,4,3,10,1,3,2,6,1278
2024-03-08 06:32:15,4,4,2,5,25,1,1,3,2,1809
2023-08-23 21:42:15,1,2,4,1,10,3,3,2,0,1300
2023-04-11 16:21:15,4,3,5,3,10,2,2,0,5,1172
2020-09-15 19:03:01,2,4,6,5,25,1,1,1,4,2094
2022-04-22 05:33:07,4,5,3,4,30,3,1,0,3,1164
2021-08-30 17:46:30,2,5,5,5,10,3,4,3,0,1310
2023-06-16 20:24:41,1,2,6,5,25,1,2,1,6,1479
2022-07-05 17:24:42,2,5,1,3,30,3,4,1,5,1441
2022-01-04 14:25:57,2,5,5,2,30,3,2,2,1,1325
2021-03-01 00:28:45,3,3,5,3,30,3,1,3,6,1256
2021-04-09 08:18:55,3,5,4,4,25,2,3,3,5,1423
2020-05-21 16:38:58,4,2,3,2,10,1,2,1,4,1562
2020-06-10 01:11:35,2,2,7,2,30,3,1,2,0,1749
2023-04-11 05:39:06,3,1,1,2,25,3,1,1,0,1222
2020-02-09 14:19:08,4,5,3,4,30,3,1,2,1,1559
2023-03-17 19:10:28,2,3,3,3,20,1,4,2,2,1376
2022-01-24 09:38:15,1,5,7,5,20,1,1,2,0,1450
2023-05-06 16:30:40,1,1,6,2,20,3,4,2,5,1303
2020-11-28 02:07:22,4,3,7,4,30,3,2,3,6,1166
2020-11-08 13:01:29,1,4,6,3,15,3,2,3,2,2077
2021-05-01 01:39:33,3,4,3,4,25,3,2,3,0,1687
2021-02-06 12:25:33,1,1,7,4,25,1,4,2,1,1143
2020-04-13 21:42:38,3,3,7,2,30,1,4,3,0,1167
2020-07-14 15:41:57,4,1,4,5,15,3,2,2,1,1348
2023-03-01 02:15:14,4,2,3,3,25,2,4,1,3,1642
2022-02-14 15:30:24,1,5,5,4,15,2,3,1,2,1538
2024-02-25 08:03:44,2,1,2,3,10,3,2,2,6,1289
2020-01-06 13:09:07,4,2,1,2,25,2,3,2,3,1455
2022-07-30 14:22:32,2,1,2,1,20,1,1,0,5,1142
2020-07-28 12:54:49,1,4,1,3,25,1,1,1,4,2043
